Condition,SMM_level,Comm_level,SMM_low,SMM_high,Comm_low,Comm_high,SMMxCommInt,Age,Gender,Attention_score,Attention_extra_score,Pre_SMM,TSA_ALL,z_TSA_ALL,Comm_2items,Comm_Item2,Comm_Item3,TOs_required,TOs_not_required,MEfficiency,Points
2,low,high,1,0,0,1,0,23,Female,87.5,100,2,96.66666667,0.538012844,4.5,3,6,3,5,8,904
2,low,high,1,0,0,1,0,24,Female,87.5,100,1,100,1.235975453,1,1,1,3,5,8,615
3,high,low,0,1,1,0,0,23,Male,100,-1,4,86.66666667,-1.555874982,1,1,1,3,0,3,479
1,low,low,1,0,1,0,0,23,Male,87.5,-1,2,93.33333333,-0.159949764,2,2,2,2,4,6,684
4,high,high,0,1,0,1,1,23,Male,87.5,100,4,100,1.235975453,1,1,1,3,5,8,620
3,high,low,0,1,1,0,0,24,Male,87.5,-1,4,100,1.235975453,2,2,2,3,5,8,868
4,high,high,0,1,0,1,1,22,Male,100,100,4,93.33333333,-0.159949764,1,1,1,3,5,8,934
3,high,low,0,1,1,0,0,26,Female,87.5,-1,4,96.66666667,0.538012844,2,2,2,3,2,5,650
4,high,high,0,1,0,1,1,26,Female,100,100,4,83.33333333,-2.25383759,1,1,1,3,5,8,1164
4,high,high,0,1,0,1,1,24,Female,75,100,4,93.33333333,-0.159949764,4,5,3,3,5,8,749
4,high,high,0,1,0,1,1,22,Male,87.5,100,4,96.66666667,0.538012844,1,1,1,3,5,8,669
1,low,low,1,0,1,0,0,25,Female,87.5,-1,2,90,-0.857912373,3.5,3,4,3,1,4,548
1,low,low,1,0,1,0,0,27,Non-binary,87.5,-1,0,90,-0.857912373,3,3,3,1,3,4,931
1,low,low,1,0,1,0,0,22,Male,100,-1,0,90,-0.857912373,1,1,1,3,0,3,750
2,low,high,1,0,0,1,0,23,Male,87.5,100,2,93.33333333,-0.159949764,1,1,1,3,5,8,746
2,low,high,1,0,0,1,0,26,Male,100,100,1,96.66666667,0.538012844,1,1,1,3,5,8,907
3,high,low,0,1,1,0,0,27,Female,100,-1,4,100,1.235975453,1,1,1,3,5,8,640
2,low,high,1,0,0,1,0,23,Female,75,100,2,90,-0.857912373,1.5,2,1,3,5,8,508
1,low,low,1,0,1,0,0,23,Male,100,-1,1,86.66666667,-1.555874982,3.5,4,3,3,0,3,585
3,high,low,0,1,1,0,0,21,Male,100,-1,4,100,1.235975453,1,1,1,3,4,7,768
2,low,high,1,0,0,1,0,19,Female,100,100,1,96.66666667,0.538012844,1.5,1,2,3,5,8,1184
4,high,high,0,1,0,1,1,21,Female,100,100,4,90,-0.857912373,2,2,2,3,5,8,664
3,high,low,0,1,1,0,0,30,Male,100,-1,4,93.33333333,-0.159949764,2,2,2,3,4,7,909
3,high,low,0,1,1,0,0,20,Female,100,-1,4,90,-0.857912373,1,1,1,3,5,8,1073
4,high,high,0,1,0,1,1,47,Male,100,100,4,100,1.235975453,2,2,2,3,5,8,568
3,high,low,0,1,1,0,0,22,Male,100,-1,4,100,1.235975453,1.5,2,1,3,5,8,687
1,low,low,1,0,1,0,0,37,Female,87.5,-1,0,90,-0.857912373,1.5,2,1,1,2,3,359
4,high,high,0,1,0,1,1,23,Female,100,100,3,93.33333333,-0.159949764,2,2,2,3,5,8,731
3,high,low,0,1,1,0,0,66,Male,87.5,-1,4,96.66666667,0.538012844,1,1,1,3,3,6,227
1,low,low,1,0,1,0,0,55,Female,87.5,-1,1,90,-0.857912373,1.5,1,2,1,0,1,280
3,high,low,0,1,1,0,0,25,Female,87.5,-1,4,100,1.235975453,2.5,3,2,3,4,7,874
4,high,high,0,1,0,1,1,21,Female,87.5,100,4,100,1.235975453,1,1,1,3,5,8,800
1,low,low,1,0,1,0,0,22,Male,87.5,-1,1,93.33333333,-0.159949764,1,1,1,2,0,2,598
1,low,low,1,0,1,0,0,24,Male,100,-1,1,83.33333333,-2.25383759,2,2,2,3,1,4,655
4,high,high,0,1,0,1,1,44,Male,75,100,4,100,1.235975453,1,1,1,3,4,7,558
1,low,low,1,0,1,0,0,26,Female,100,-1,1,93.33333333,-0.159949764,1.5,2,1,1,4,5,733
3,high,low,0,1,1,0,0,26,Female,100,-1,4,100,1.235975453,1,1,1,3,5,8,619
2,low,high,1,0,0,1,0,20,Male,100,100,1,90,-0.857912373,1,1,1,3,5,8,776
2,low,high,1,0,0,1,0,28,Male,100,100,0,96.66666667,0.538012844,2,2,2,3,5,8,1005
1,low,low,1,0,1,0,0,22,Male,87.5,-1,1,96.66666667,0.538012844,1,1,1,2,2,4,746
4,high,high,0,1,0,1,1,47,Female,100,100,4,93.33333333,-0.159949764,5.5,6,5,3,5,8,611
2,low,high,1,0,0,1,0,25,Male,100,100,1,96.66666667,0.538012844,2,2,2,3,5,8,831
2,low,high,1,0,0,1,0,32,Female,87.5,100,2,96.66666667,0.538012844,2,2,2,3,5,8,648
2,low,high,1,0,0,1,0,21,Male,100,100,0,93.33333333,-0.159949764,1.5,1,2,2,5,7,735
4,high,high,0,1,0,1,1,74,Male,75,100,4,86.66666667,-1.555874982,1,1,1,3,5,8,344
1,low,low,1,0,1,0,0,25,Male,87.5,-1,0,90,-0.857912373,1,1,1,0,5,5,756
1,low,low,1,0,1,0,0,23,Female,100,-1,0,90,-0.857912373,1,1,1,3,0,3,715
3,high,low,0,1,1,0,0,21,Female,100,-1,4,100,1.235975453,1,1,1,3,5,8,1061
